0 2976 1480
1 3639 1315 10
2 3569 1438 5
3 3904 1289 8
4 3506 1221 12
5 3237 1764 7
6 3089 1251 4
7 3238 1229 6
8 4172 1125 15
9 4020 1142 4
10 4095 626 3
11 4403 1022 6
12 4361 73 9
13 4634 654 11
14 2846 1951 3
15 3054 1710 14
16 2562 1756 4
17 2291 1403 1
18 2012 1552 8
19 682 825 6
20 518 1251 3
21 1332 695 8
22 4016 1715 5
23 4087 1546 7
24 4062 2220 12
25 4061 2370 6
26 4201 2397 13
27 3777 2095 5
28 3888 2261 9
29 3678 2463 10
30 3789 2620 3
31 3862 2839 9
32 4263 2931 11
33 3492 1901 4
34 3479 2198 8
35 3318 2408 7
36 3296 2217 6
37 3394 2643 13
38 3101 2721 5
39 3792 3156 9
40 3143 3421 5
41 3130 2973 4
42 2765 3321 7
43 2545 2357 12
44 2611 2275 4
45 2860 2862 15
46 2801 2700 3
47 2370 2975 2
48 1084 2313 4
49 4177 2244 7
50 3757 1187 9
